j,gamma_mid,bracket_lo,bracket_hi,grade,method_primary,method_confirm,date,evidence
142,26.266309,26.265820,26.266797,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
143,26.350782,26.346875,26.354688,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
144,26.448438,26.440625,26.456250,NUMERICAL,ball-FFT engine scan (sign change found; enclosure at radius floor),,2026-07-19,"certified_run.log; weak-amplitude zero, certification pending"
145,26.604932,26.604688,26.605176,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
146,26.805860,26.803906,26.807813,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
147,26.872998,26.872754,26.873242,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
148,27.149121,27.148633,27.149609,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
149,27.246289,27.245313,27.247266,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
150,27.382214,27.382153,27.382275,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
151,27.620190,27.620068,27.620313,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
152,27.799512,27.799023,27.800000,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
153,27.911084,27.910840,27.911328,CERTIFIED_BALL,ball-FFT engine B128 (2026-07-19),,2026-07-19,to_Ilya_CERTIFIED_spectrum_2026-07-19/results/certified_run_brackets.csv
